Source,Target,Type,Id,Label,timeset,Weight
305,112,directed,650,,,9
305,112,directed,651,,,9
305,112,directed,652,,,9
305,112,directed,653,,,9
305,112,directed,654,,,9
305,112,directed,655,,,9
312,359,directed,656,,,1
312,516,directed,657,,,1
312,1164,directed,658,,,1
312,834,directed,659,,,1
312,1894,directed,660,,,1
312,747,directed,661,,,1
312,25,directed,662,,,1
312,330,directed,663,,,1
312,451,directed,664,,,1
319,908,directed,665,,,1
322,970,directed,666,,,1
322,1830,directed,667,,,1
331,331,directed,668,,,1
332,332,directed,669,,,1
333,333,directed,670,,,1
334,334,directed,671,,,1
335,1121,directed,672,,,1
335,2974,directed,673,,,1
335,829,directed,674,,,1
335,1696,directed,675,,,1
335,4874,directed,676,,,1
335,1714,directed,677,,,1
335,1575,directed,678,,,1
337,337,directed,679,,,1
345,345,directed,680,,,1
347,347,directed,681,,,1
349,349,directed,682,,,1
349,5266,directed,683,,,1
352,2016,directed,684,,,1
352,2097,directed,685,,,1
354,354,directed,686,,,1
355,626,directed,687,,,1
359,516,directed,688,,,1
359,38,directed,689,,,1
362,362,directed,690,,,1
365,200,directed,691,,,1
367,367,directed,692,,,2
367,367,directed,693,,,2
369,175,directed,694,,,3
369,175,directed,695,,,3
369,175,directed,696,,,3
369,1023,directed,697,,,1
369,649,directed,698,,,1
370,862,directed,699,,,1
372,252,directed,700,,,1
372,226,directed,701,,,1
373,373,directed,702,,,2
373,373,directed,703,,,2
375,2662,directed,704,,,1
375,2568,directed,705,,,1
376,376,directed,706,,,2
376,376,directed,707,,,2
379,379,directed,708,,,1
383,451,directed,709,,,1
386,386,directed,710,,,2
386,386,directed,711,,,2
392,611,directed,712,,,1
392,242,directed,713,,,1
392,1836,directed,714,,,1
392,70,directed,715,,,2
392,70,directed,716,,,2
392,207,directed,717,,,1
392,232,directed,718,,,1
392,145,directed,719,,,1
392,607,directed,720,,,1
394,394,directed,721,,,1
396,545,directed,722,,,1
398,398,directed,723,,,1
